url,label
https://www.india.gov.in/,benign
https://uidai.gov.in/,benign
https://www.nvsp.in/,benign
https://parivahan.gov.in/parivahan/,benign
https://www.incometax.gov.in/iec/foportal/,benign
https://www.epfindia.gov.in/site_en/,benign
https://passportindia.gov.in/AppOnlineProject/welcomeLink,benign
https://www.mygov.in/,benign
https://www.irctc.co.in/nget/train-search,benign
http://apple-id-support.com-secure.info/login/,phishing
https://signin.google.com.user-verification.xyz/AccountRecovery,phishing
http://www.facebook-login.net/security-check/index.html?ref=email,phishing
https://amazon-prime-rewards.org/update-payment-details/sessionid=123,phishing
http://microsoft.office365.login.update.account.web.app/auth,phishing
https://paypal.com.cgi-bin.webscr.cmd-login.dispute-resolution.biz/,phishing
http://netflix.account-update.info/billing/card-details/?error=expired,phishing
https://your-bank-online.com-secure.co/verification/required,phishing
http://hsbc-secure-messaging.net/inbox/view?message_id=98765,phishing
https://www.dropbox-files.com/shared/document.pdf.html,phishing
